ind,Columba_palumbus,Garrulus_glandarius,Turdus_merula,Phoenicurus_ochruros,Erithacus_rubecula,Parus_ater,Fringilla_coelebs,Sylvia_conspicillata,Sylvia_atricapilla,Turdus_viscivorus,Sylvia_communis,Sylvia_melanocephala,Sylvia_borin,Parus_caeruleus,Phoenicurus_phoenicurus,Parus_cristatus,Parus_major,Sylvia_cantillans,Sitta_europaea,Dendrocopos_major,NO_ID
1933,0,0.0010340389196151667,0.00155105837942275,0.005724144019298245,0.0012925486495189585,0.005557959192931521,0.012740836688115447,5.170194598075834e-4,0.0018095681093265416,0.00465317513826825,0.002031147877815506,5.170194598075834e-4,7.75529189711375e-4,5.170194598075834e-4,5.724144019298243e-4,0,9.417140160780982e-4,0,0,0,0
1931,0,5.170194598075834e-4,2.585097299037917e-4,0.018649630514487828,7.75529189711375e-4,0.002806677067526881,0.013571760819949064,5.170194598075834e-4,5.170194598075834e-4,5.170194598075834e-4,0.0032313716237973964,0,0,6.278093440520655e-4,0.0040253657942161845,7.75529189711375e-4,0.001255618688104131,3.1390467202603274e-4,0,0,2.585097299037917e-4
1932,0,5.724144019298243e-4,7.75529189711375e-4,0.009971089582003392,0,0.005650284096468589,0.00895551564309564,0,0,2.585097299037917e-4,5.170194598075834e-4,3.1390467202603274e-4,0,0,0.0018834280321561965,0,8.863190739558572e-4,3.1390467202603274e-4,0,0,0
1934,0,3.1390467202603274e-4,0,0.002583676915906577,0,0.002680262968837664,0.0019800140850872836,0,0,0,0,0,0,0,6.278093440520655e-4,6.76102370517609e-4,0,0,0,0,0
1936,0,0,5.580527502685027e-4,0.0014300101725630379,6.278093440520655e-4,0,3.1390467202603274e-4,0,0,0,8.719574222945354e-4,0.001185862094320568,0,0,0,0,0,3.1390467202603274e-4,0,0,0
1937,0,0,0.005924950684491367,0.006160379188510892,0.001647999528136672,0.001216380604100877,0.004276951156354696,0,3.1390467202603274e-4,0,0.007259045540602008,9.024759320748441e-4,0,0.0036099037282993763,0.002158094620178975,0,0,8.6323784807159e-4,0,0,0
1938,0,0,0.0023542850401952454,0.003688379896305885,0.0034921894762896147,0.0011771425200976227,0.0029428563002440573,0,8.6323784807159e-4,2.7466658802277865e-4,0.008004569136663834,0.002158094620178975,0,0.002432761208201754,0.0015695233601301637,0,0.0011771425200976227,0.0011771425200976227,0,0,0
1939,0,0,0.004394665408364458,0.002092697813506885,0.007115172565923409,0.0028251420482342947,0.018101836086834557,0,3.1390467202603274e-4,0,0.004394665408364458,3.1390467202603274e-4,0,0.0019880629228315404,0,3.1390467202603274e-4,0,3.1390467202603274e-4,3.1390467202603274e-4,0,0
1940,0,0,0.0010986663520911146,0.004080760736338426,0.007926092968657327,9.024759320748441e-4,0.011339806276940433,0,0.0018441899481529424,0,8.23999764068336e-4,0.001216380604100877,0,0.002197332704182229,3.1390467202603274e-4,3.1390467202603274e-4,0,0,0,0,0
1921,2.7466658802277865e-4,5.493331760455573e-4,0.0010736966622708621,0.02109938789811345,0,0,0.009813088099359274,0,2.7466658802277865e-4,0,9.48848213169599e-4,0,0,5.493331760455573e-4,0.011910542044260492,0,0,0,0,0,7.990300742480834e-4
1823,0,0.012305063143420484,0.007031464653383134,0.018897061255967174,0.007910397735056024,0.026367992450186752,0.07339091231968646,0,0.0017578661633457836,0.07822504426888736,0,0,0,0.011426130061747593,0.0017578661633457836,0,0.003076265785855121,0,0.003955198867528013,0.003076265785855121,8.789330816728918e-4
1824,0,4.394665408364459e-4,0.010547196980074702,0.01889706125596717,0.004394665408364458,0.003515732326691567,0.019775994337640063,0,8.789330816728918e-4,0.030762657858551208,0,0,0,0.004834131949200905,0.0013183996225093375,0,0,0,0,0,0.0017578661633457836
1820,0,0.006152531571710242,0.0014648884694548193,0.03295999056273344,0.0014648884694548193,0.0029297769389096387,0.057130650308737964,0,0,0.014648884694548196,0,0,0,0,4.394665408364459e-4,0,0,0,0,0,0
1825,0,0.001775622387217963,3.995150371240417e-4,0.012429356710525741,0.0014648884694548193,0.004350274848684009,0.03529049494595701,0,0,0.005815163318138829,0,0,0,4.882961564849398e-4,8.878111936089815e-4,7.990300742480834e-4,3.995150371240417e-4,0,0.0022639185437029028,0,0
1929,0,0,0,0.0027216961904075344,0,0,2.7466658802277865e-4,0,0,0,0.0014981813892151565,0,0,0,7.990300742480834e-4,0,0,0,0,0,0
8801,0,0.00105471969800747,7.031464653383134e-4,0.023352575877678212,0.002413685462747864,0.0036239087059743843,0.008160555612147541,0,0,0.00421887879202988,0.005544039438244394,0,1.7578661633457836e-4,0.005746870149399677,0.0022852260123495186,1.7578661633457836e-4,6.963854416331373e-4,0.00468538942768703,0,0,0
8808,0,0.0013995319069714507,8.451279631470114e-4,0.0013657267884455704,0.0011967011958161679,0.005679259912347915,0.004083658317926358,0,1.6902559262940226e-4,0.00576039219681003,8.451279631470114e-4,0,1.6902559262940226e-4,3.515732326691567e-4,5.27359849003735e-4,1.7578661633457836e-4,0,3.380511852588045e-4,3.380511852588045e-4,0,0
8814,1.6902559262940226e-4,7.031464653383134e-4,0.004300011076491994,0.005469668177487457,0.013353021817722778,8.518889868521874e-4,5.138378015933829e-4,0,0,1.7578661633457836e-4,0.0013927708832662746,0,1.7578661633457836e-4,1.7578661633457836e-4,0,0,0,1.7578661633457836e-4,1.7578661633457836e-4,0,0
