ind,Turdus_flavipes,Turdus_albicollis,Procnias_nudicollis,Ramphastos_vitellinus,Trogon_viridis,Cyanocorax_caeruleus,Pyroderus_scutatus
L01,0.003194888178913738,0.012779552715654952,0,0,0,0,0
L03,0,0,0.019169329073482427,0,0,0,0
L04,0,0.006389776357827476,0,0,0,0,0
L06,0,0,0.003194888178913738,0,0,0,0
L08,0,0.025559105431309903,0,0,0,0,0
L13,0.038338658146964855,0,0,0.0670926517571885,0,0,0
L15,0,0.01597444089456869,0,0,0,0,0
L16,0,0.07028753993610223,0,0,0,0,0
L23,0.054313099041533544,0,0,0,0,0,0
L26,0,0.019169329073482427,0.01597444089456869,0.11501597444089456,0,0,0
L27,0,0.03514376996805112,0.003194888178913738,0.14696485623003194,0.003194888178913738,0,0
L28,0,0.10543130990415335,0,0.06389776357827476,0,0,0
L29,0,0.025559105431309903,0,0.11182108626198083,0,0.01597444089456869,0
L30,0,0,0,0,0,0,0.019169329073482427
L33,0,0.003194888178913738,0,0,0,0,0
