ind,Turdus_flavipes,Procnias_nudicollis,Ramphastos_vitellinus,Turdus_albicollis,Selenidera_maculirostris,Trogon_viridis,Carpornis_cucullata,Pyroderus_scutatus
P01,0.004862236628849271,0.06645056726094004,0,0,0,0,0,0
P02,0.01620745542949757,0,0.02106969205834684,0,0,0,0,0
P03,0.0032414910858995136,0.02593192868719611,0,0,0,0,0,0
P04,0,0.0713128038897893,0,0,0,0,0,0
P05,0.019448946515397084,0,0,0.006482982171799027,0,0,0,0
P06,0.04538087520259319,0,0,0,0,0,0,0
P07,0.04376012965964344,0,0.004862236628849271,0,0.04051863857374392,0,0,0
P08,0,0.08103727714748785,0,0,0,0,0,0
P09,0,0.029173419773095625,0,0.017828200972447326,0,0,0,0
P11,0,0,0,0,0.0032414910858995136,0,0,0
P12,0.012965964343598054,0,0,0,0,0,0,0
P13,0.008103727714748784,0,0,0.0016207455429497568,0,0,0,0
P15,0.017828200972447326,0,0,0,0,0,0,0
P17,0,0,0,0.009724473257698542,0,0,0,0
P18,0,0,0,0.012965964343598054,0.06320907617504051,0,0,0
P19,0,0.011345218800648298,0,0,0,0,0,0
P20,0.03565640194489465,0,0,0.0032414910858995136,0,0.0016207455429497568,0,0
P21,0.0016207455429497568,0,0,0,0.014586709886547812,0,0.004862236628849271,0
P22,0.014586709886547812,0,0,0,0.08589951377633712,0,0,0
P23,0.03727714748784441,0,0,0,0.03889789303079417,0,0,0.006482982171799027
P24,0.004862236628849271,0,0,0,0.0032414910858995136,0,0,0
P25,0.0032414910858995136,0,0,0,0,0,0,0
P26,0.03241491085899514,0,0,0,0,0,0.009724473257698542,0
P27,0.011345218800648298,0,0,0,0,0,0,0
P28,0.0016207455429497568,0,0,0,0,0,0,0
P31,0.009724473257698542,0,0,0,0,0,0,0
P32,0.004862236628849271,0,0,0.022690437601296597,0,0,0,0
P34,0.004862236628849271,0,0,0.0032414910858995136,0,0,0,0
P35,0,0,0,0.0016207455429497568,0,0,0,0
P36,0.0032414910858995136,0,0,0,0,0,0,0
