ind,Coereba_flaveola,NO_ID,Tachyphonus_coronatus,Tangara_cyanocephala,Thraupis_ornata,Thraupis_palmarum,Melanerpes_flavifrons,Dacnis_nigripes,Pionus_maximiliani,Pyrrhura_frontalis,Aburria_jacutinga,Euphonia_chalybea,Brotogeris_tirica,Tangara_desmaresti,Thraupis_cyanoptera,Trogon_viridis,Turdus_flavipes,Baryphthengus_ruficapillus,Hemithraupis_ruficapilla,Dacnis_sp.,Forpus_xanthopterygius,Saltator_similis,Turdus_rufiventris,Chlorophonia_cyanea,Tangara_seledon,Selenidera_maculirostris,Cissopis_leverianus,Cacicus_chrysopterus,Chlorophanes_spiza,Euphonia_violacea,Tityra_inquisitor,Dacnis_cayana,Orthogonys_chloricterus,Tangara_preciosa,Tityra_cayana,Cyclarhis_gujanensis,Euphonia_cyanocephala,Trogon_surrucura
C1,0.004301075268817204,0.002150537634408602,0.004301075268817204,0.0064516129032258064,0.002150537634408602,0.017204301075268817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,0,0.004301075268817204,0,0.008602150537634409,0,0,0,0.008602150537634409,0.004301075268817204,0.03870967741935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,0.004301075268817204,0,0,0,0,0,0,0,0,0,0.002150537634408602,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,0.0064516129032258064,0.004301075268817204,0,0,0.008602150537634409,0,0,0,0,0.010752688172043012,0,0,0.0064516129032258064,0.002150537634408602,0.002150537634408602,0.0064516129032258064,0.0064516129032258064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0.004301075268817204,0.002150537634408602,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15,0,0,0,0,0.012903225806451613,0,0.002150537634408602,0,0,0.002150537634408602,0,0,0.004301075268817204,0,0,0,0,0,0,0.0064516129032258064,0.002150537634408602,0.002150537634408602,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16,0.008602150537634409,0,0,0,0.012903225806451613,0,0,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004301075268817204,0.004301075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0
C17,0.002150537634408602,0,0,0,0,0,0,0,0,0.0064516129032258064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004301075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0
C18,0.012903225806451613,0,0,0,0.01935483870967742,0,0,0,0,0.008602150537634409,0,0,0.008602150537634409,0,0,0,0,0,0,0,0,0,0,0.008602150537634409,0.008602150537634409,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0
C19,0,0.004301075268817204,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0.04516129032258064,0,0,0,0,0.002150537634408602,0,0.002150537634408602,0,0,0.012903225806451613,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0.010752688172043012,0.002150537634408602,0.002150537634408602,0,0,0,0,0,0,0,0
C20,0,0.010752688172043012,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0,0.002150537634408602,0,0,0,0,0,0,0
C21,0.002150537634408602,0,0,0,0.012903225806451613,0,0,0,0,0,0,0,0,0,0.004301075268817204,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0,0,0.002150537634408602,0,0,0,0,0,0
C22,0,0,0.002150537634408602,0,0.015053763440860216,0,0,0,0,0,0,0.004301075268817204,0.034408602150537634,0,0,0,0.004301075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C23,0,0,0,0,0.008602150537634409,0,0,0,0,0,0,0.002150537634408602,0.004301075268817204,0,0.004301075268817204,0,0,0,0,0,0.004301075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C24,0,0,0,0,0.004301075268817204,0,0,0,0,0,0,0.004301075268817204,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150537634408602,0.004301075268817204,0.002150537634408602,0.002150537634408602,0,0,0
C25,0.004301075268817204,0.015053763440860216,0,0,0.015053763440860216,0.10752688172043011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0,0,0,0,0,0,0,0,0
C28,0.0064516129032258064,0,0,0,0.004301075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01935483870967742,0.004301075268817204,0,0.0064516129032258064,0,0,0,0,0,0,0,0,0,0,0
