ind,Ducula_badia,Gracula_indica,Iole_indica,Irena_puella,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Psilopogon_viridis,Pycnonotus_jocosus,Ratufa_indica,Rubigula_gularis
HETR01,0,0,0,0,0,0.003424201086396713,0,0,0,0,0
HETR02,0,0.04451461412315727,0,0,0,0,0,0,0,0,0
HETR03,0,0.1643616521470422,0,0,0,0,0,0,0,0.004565601448528951,0
HETR05,0,0,0,0,0,0,0.020794743439656153,0,0,0,0
HETR06,0,0.032925010446122234,0,0,0,0,0,0.006585002089224448,0.006585002089224448,0,0
HETR07,0.0033137429868355284,0.01988245792101317,0,0,0,0,0.0033137429868355284,0.0033137429868355284,0,0,0.0033137429868355284
HETR08,0,0,0,0,0,0.0065222877836127865,0,0,0,0,0
HETR09,0,0.0064203770369938365,0.0032101885184969182,0,0,0,0,0,0,0,0
HETR10,0,0.0763107670682696,0.002935029502625754,0.002935029502625754,0,0,0.011740118010503016,0.002935029502625754,0,0,0
HETR12,0,0,0,0.003424201086396713,0,0,0,0,0,0.003424201086396713,0
HETR13,0,0.003066448734086609,0,0,0,0,0,0.012265794936346436,0,0,0
HETR16,0,0.006627485973671057,0,0.006627485973671057,0,0,0,0.0033137429868355284,0,0,0
HETR18,0,0,0,0,0,0,0.006321602005655469,0,0,0,0
HETR19,0,0,0,0,0.025681508147975346,0,0,0,0,0,0
HETR21,0,0.008385798578930726,0,0,0,0,0,0.01257869786839609,0,0.004192899289465363,0
HETR22,0.00978343167541918,0,0,0,0,0,0.0065222877836127865,0.0065222877836127865,0,0,0
HETR25,0,0,0,0,0,0,0.011910264648336392,0,0,0.002977566162084098,0
HETR26,0,0.02971414165881445,0,0,0.008489754759661272,0,0,0.004244877379830636,0,0,0
HETR27,0,0.033137429868355286,0,0,0,0,0,0,0,0,0
HETR28,0,0.007609335747548251,0,0,0,0,0,0,0,0,0
HETR31,0.0033137429868355284,0,0,0,0,0,0,0,0,0,0
HETR32,0,0,0,0.003951001253534669,0,0,0,0,0,0,0
HETR33,0,0.33839163677332224,0,0.004028471866349074,0,0,0,0,0,0,0
HETR35,0,0,0,0,0,0,0,0.0035918193213951535,0,0,0
