ind,Buceros_bicornis,Ducula_badia,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Ratufa_indica,Semnopithecus_johnii
MYDA01,0,0,0,0,0.006912914535887185,0,0
MYDA02,0,0,0,0,0.006284467759897442,0,0
MYDA03,0,0,0,0,0.028803810566196606,0,0
MYDA04,0,0,0.017282286339717966,0.0057607621132393216,0.028803810566196606,0,0
MYDA05,0,0,0,0,0,0,0.014401905283098303
MYDA08,0,0.011185945850950138,0,0,0.05592972925475069,0.022371891701900275,0.04474378340380055
MYDA09,0,0.006647033207583832,0,0,0,0,0
MYDA10,0,0.005666323390071464,0,0,0,0,0
MYDA11,0,0,0,0,0.0065216174866860235,0,0
MYDA13,0.01651173854113181,0,0,0.02201565138817575,0.18713303679949386,0.03302347708226362,0
MYDA14,0,0,0,0,0.07354164399879985,0,0
MYDA15,0,0,0,0,0.027874655386641876,0.011149862154656751,0
MYDA16,0,0.006647033207583832,0,0,0.04652923245308683,0,0
MYDA17,0,0,0,0,0.0057607621132393216,0,0
MYDA18,0,0.014107988848749359,0,0,0,0,0
MYDA19,0.005592972925475069,0,0,0,0,0.005592972925475069,0
MYDA20,0,0,0,0,0.01416580847517866,0,0
MYDA21,0,0.011521524226478643,0,0,0.04032533479267525,0.0057607621132393216,0
MYDA23,0,0,0,0,0.028803810566196606,0,0
MYDA24,0,0,0,0,0.011521524226478643,0,0.0057607621132393216
MYDA25,0,0.01858310359109458,0,0,0.006194367863698194,0,0.012388735727396388
MYDA27,0,0,0,0,0.0072009526415491515,0,0
MYDA28,0,0,0,0,0.0057607621132393216,0,0
MYDA32,0.011521524226478643,0.0057607621132393216,0,0,0.03456457267943593,0.0057607621132393216,0.05184685901915389
MYDA33,0,0,0,0,0.0057607621132393216,0,0
