ind,Piaya_cayana,Amazilia_sp,Euphonia_chlorotica,Euphonia_sp,Euphonia_violacea,Setophaga_pitiayumi,Ceratopipra_rubrocapilla,Dixiphia_pipra,Machaeropterus_regulus,Manacus_manacus,Chlorophanes_spiza,Coereba_flaveola,Dacnis_cayana,Lanio_cristatus,Ramphocelus_bresilius,Saltator_maximus,Tangara_brasiliensis,Tangara_cayana,Tangara_seledon,Tangara_velia,Trogon_viridis,Turdus_rufiventris
A,0,0,0,0,0.003703703703703704,0,0.003703703703703704,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0.003703703703703704
B,0,0,0.018518518518518517,0,0,0,0.003703703703703704,0.014814814814814815,0,0,0,0.014814814814814815,0,0.007407407407407408,0,0,0,0,0,0.003703703703703704,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003703703703703704,0,0,0,0.003703703703703704,0,0
D,0,0,0.03333333333333333,0,0.007407407407407408,0,0.007407407407407408,0.022222222222222223,0.007407407407407408,0.025925925925925925,0,0,0.037037037037037035,0,0,0,0,0.018518518518518517,0,0,0,0
E,0,0,0.007407407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003703703703703704,0
F,0,0,0.022222222222222223,0,0.007407407407407408,0,0,0.003703703703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0.003703703703703704,0,0,0,0.03333333333333333,0,0,0,0,0,0.05925925925925926,0.022222222222222223,0.003703703703703704,0,0.018518518518518517,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0.003703703703703704,0,0,0,0,0.018518518518518517,0,0,0.003703703703703704,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0.007407407407407408,0,0,0.003703703703703704,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0.003703703703703704,0.003703703703703704,0,0,0,0.014814814814814815,0,0,0,0,0,0,0,0,0,0
L,0,0,0.003703703703703704,0,0,0,0,0,0,0,0,0.007407407407407408,0,0,0,0.003703703703703704,0,0,0,0,0,0
M,0,0,0.02962962962962963,0.011111111111111112,0.10740740740740741,0,0,0.003703703703703704,0,0,0,0,0.011111111111111112,0.014814814814814815,0.07777777777777778,0.003703703703703704,0,0,0,0,0.014814814814814815,0
N,0,0,0.003703703703703704,0,0,0,0,0.007407407407407408,0,0,0,0.007407407407407408,0,0,0,0,0,0,0,0,0.007407407407407408,0
O,0,0,0,0,0,0,0,0.003703703703703704,0,0,0,0.003703703703703704,0.003703703703703704,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0.007407407407407408,0,0,0,0.007407407407407408,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0.003703703703703704,0.003703703703703704,0,0,0,0.022222222222222223,0,0,0,0.011111111111111112,0.003703703703703704,0
R,0.003703703703703704,0,0.007407407407407408,0,0.014814814814814815,0,0,0.003703703703703704,0,0,0,0,0,0,0,0,0.003703703703703704,0,0,0.014814814814814815,0,0
S,0,0,0.003703703703703704,0,0.03333333333333333,0,0,0.003703703703703704,0,0,0.007407407407407408,0.003703703703703704,0,0,0,0,0,0,0.018518518518518517,0,0,0
