ind,Pipreola_sp,Penelope_purpurascens,Baryphthengus_martii,Sciurus_granatensis,Rodentia_sp,Cephalopterus_penduliger,Ramphastos_sp,Pteroglossus_erythropygius,Aulacorhynchus_haematopygus
18-0001,0,0,0,0,0,0,0.014772592734135748,0.03249970401509865,0.03545422256192579
18-0008,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0.0059090370936542985,0.0029545185468271493,0
18-0010,0,0,0.0024173333564949406,0,0,0,0.004834666712989881,0.004834666712989881,0
18-0013,0,0,0.0024173333564949406,0,0,0,0,0.019338666851959525,0.004834666712989881
18-0020,0,0,0,0,0,0,0.002659066692144435,0,0
18-0021,0,0,0,0,0,0,0.0033238333651805434,0,0.0033238333651805434
18-0022,0,0,0.006136307751102542,0,0,0,0.03272697467254689,0.014318051419239263,0
18-0027,0,0,0.05650516720806924,0.0033238333651805434,0,0,0,0,0
18-0035,0,0,0.014504000138969643,0,0,0,0,0,0
18-0053,0,0,0.008397052712035056,0,0,0,0.0027990175706783522,0,0.033588210848140225
18-0063,0,0,0,0.0029545185468271493,0,0,0.0059090370936542985,0.011818074187308597,0
18-0064,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0.0029545185468271493,0.0029545185468271493,0
18-0065,0,0,0.011818074187308597,0.0029545185468271493,0.0029545185468271493,0,0.011818074187308597,0.02068162982779005,0.017727111280962896
18-0066,0,0,0.0029545185468271493,0,0.017727111280962896,0,0.017727111280962896,0.011818074187308597,0.008863555640481448
18-0067,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0,0.011818074187308597,0.0029545185468271493
18-0069,0,0,0,0,0,0,0.0029545185468271493,0.008863555640481448,0
18-0070,0,0,0.01063626676857774,0.0035454222561925796,0,0.0017727111280962898,0.008863555640481448,0.00531813338428887,0
18-0071,0.006647666730361087,0,0.026590666921444347,0,0,0.006647666730361087,0.006647666730361087,0.03323833365180543,0.01994300019108326
18-0072,0,0,0,0,0,0.0024173333564949406,0.0024173333564949406,0.012086666782474702,0
18-0073,0,0,0.0015641568777320202,0,0,0,0,0.009384941266392123,0.0015641568777320202
18-0074,0,0,0.0057493333884204,0,0,0,0.0114986667768408,0.0086240000826306,0
18-0089,0,0,0.014841302467782891,0,0.0024735504112971484,0,0.01731485287908004,0.018551628084728614,0
18-0103,0,0,0.01382714679915106,0.0010636266768577738,0,0,0.00531813338428887,0,0.0010636266768577738
18-0104,0,0,0.026590666921444347,0,0,0,0.006647666730361087,0.013295333460722173,0.03323833365180543
18-0105,0,0,0.0015194666812253911,0.0015194666812253911,0,0,0.0015194666812253911,0,0
18-0106,0,0,0.0024173333564949406,0,0,0,0.0024173333564949406,0,0
18-0113,0,0,0,0,0,0,0.0024173333564949406,0,0
18-0131,0,0,0.004834666712989881,0,0,0.0024173333564949406,0,0,0
18-0136,0,0,0.014504000138969643,0,0.026590666921444347,0,0,0.004834666712989881,0
18-0247,0,0.0010636266768577738,0.012763520122293285,0,0,0.0010636266768577738,0.012763520122293285,0.045735947104884274,0
18-0248,0,0,0.0017727111280962898,0,0,0,0.008863555640481448,0.0017727111280962898,0
