ind,Alectoris_rufa,Cyanopica_cooki,Meles_meles,Oryctolagus_cuniculus,Sus_scrofa,Vulpes_vulpes,Bos_taurus,Lanius_senator,Turdus_merula,Lepus_granatensis,Sturnus_unicolor,Saxicola_rubicola,Dama_dama,Galerida_cristata,Muscicapa_striata
A01,0.03408763680517033,0.008521909201292583,0.0012174156001846547,0.0024348312003693094,0.007304493601107929,0.0012174156001846547,0,0,0,0,0,0,0,0,0
A02,0.005980408983181936,0.01087347087851261,0,0,0.005436735439256305,0,5.436735439256305e-4,5.436735439256305e-4,5.436735439256305e-4,0,0,0,0,0,0
A03,0.05831185485919029,0,0,0,0.02211828977417563,0,0,0,0,0,0,0,0,0,0
A04,0.005486835722297946,0.01920392502804281,0,0,0.002743417861148973,0.0013717089305744865,0,0,0.0013717089305744865,0,0,0,0,0,0
A05,0.013315215164924201,0.001141304156993503,0,0.001141304156993503,0.001141304156993503,0,3.8043471899783433e-4,0,0,7.608694379956687e-4,0.019021735949891715,0,0,0,0
A06,0.018233767919107118,0.003772503707401473,0,6.287506179002455e-4,0.0018862518537007364,0,0,0,0,0,0.012575012358004909,0.001257501235800491,0,0,0
A07,0.03682433108232537,7.671735642151119e-4,7.671735642151119e-4,0.005370214949505783,0.008438909206366231,0,0,0,0,0,0,0.0015343471284302238,0,0,0
A08,0.011503157583683248,0.001643308226240464,0,0.0021910776349872855,5.477694087468214e-4,0,5.477694087468214e-4,0,0,0,0,0,0,0,0
A09,0.027533913314683738,0.0019667080939059813,0,0.0026222774585413083,0.00852240174025925,0,6.555693646353271e-4,0,0.0013111387292706542,0,0,0,0,0,0
A10,0.0023471621618045375,0,0,0.0035207432427068067,0.02112445945624084,0,0,0,0.0011735810809022688,0,0,0.0011735810809022688,0.0011735810809022688,0,0
A11,0.008052054765916064,0.005815372886494935,4.473363758842257e-4,0.002684018255305355,0.004473363758842257,0,0.0013420091276526774,0,0,0,0,0.0013420091276526774,0,0,0
A12,0.042590118293385014,0.0022816134800027685,0,0.0022816134800027685,0.0030421513066703583,0,0,0,0,0,0,7.605378266675896e-4,0,0,0
A13,0.02566813681316367,0.019472379651365543,0,0.015931946987480898,0.030978785808990633,0,0,0,0,8.85108165971161e-4,0.013276622489567414,0,0,0.001770216331942322,0
A14,0.008533306889767103,0,0,0.0018962904199482451,0.022755485039378943,0,0,0,0.0018962904199482451,0,0,0,0,0,0
A15,0.007956970288965576,0.007956970288965576,9.94621286120697e-4,0.002983863858362091,0.04077947273094858,0,0,0,0,0.001989242572241394,0,0,0,0,0
A16,0.014699706654035872,0,0.001837463331754484,0.003674926663508968,0.007349853327017936,0,0,0,0,0,0,0,0,0,0
A17,0.025918107819126526,0.004485826353310359,0,0.011463778458459807,0.002990550902206907,0,0,0,0,0,0,0.0014952754511034535,4.984251503678177e-4,0,0
A18,0.0159471288034311,0,0,0.0031894257606862207,0.0031894257606862207,0,0,0,0,0,0,0,0,0,0
A19,0.002016473092785854,0.001008236546392927,0,0.004032946185571708,0.008065892371143416,0,0,0,0,0,0,0.001008236546392927,0,0,0
A20,0.007833329521353887,0.01958332380338472,0,0.007833329521353887,0.0019583323803384718,0,0,0,0,0,0,0.0019583323803384718,0,0,0
A21,0.008026692731867265,0.0118039598998048,0,0.003305108771945344,0.013220435087781377,0,4.7215839599219203e-4,0,0.003305108771945344,4.7215839599219203e-4,0,0,0,0,4.7215839599219203e-4
A22,0.008097402262416425,0.009896824987397853,0,0.0026991340874721417,0.01799422724981428,0,0,0,0,0,0.0026991340874721417,0,0,0,0
A23,0.009264987663402434,0.006948740747551824,0,0,0.02547871607435669,0,0,0,0.0011581234579253043,0,0,0,0,0,0
A24,0.003673438959410713,0.009183597398526783,0,0.011020316878232137,0.007346877918821426,0,0,0,0,0,0,0,0.002755079219558034,0,0
