ind,Pycnonotus_cafer,Pycnonotus_luteolus,Pycnonotus_jocosus,Leptocoma_zeylonica,Dicaeum_erythrorhynchos,Pycnonotus_xantholaemus,Turdoides_affinis,Merops_orientalis,Orthotomus_sutorius,Lonchura_punctulata,Aegithina_tiphia
BURD01,0.09716529068760464,0,0,0,0,0,0,0,0,0,0
BURD02,0.03048322845101322,0,0,0,0,0,0,0,0,0,0
BURD03,0,0.031176029097627157,0.005196004849604526,0,0,0,0,0,0,0,0
BURD04,0,0.05715605334564979,0.04445470815772762,0,0,0,0,0,0,0,0
BURD05,0,0.04000923734195485,0.0800184746839097,0.011431210669129959,0,0,0,0,0,0,0
BURD06,0,0.011431210669129959,0.011431210669129959,0.005715605334564979,0.005715605334564979,0,0,0,0,0,0
BURD07,0,0.005196004849604526,0,0,0,0,0,0,0,0,0
BURD08,0,0.005196004849604526,0,0,0,0,0,0,0,0,0
BURD09,0,0.019052017781883264,0.06985739853357197,0.02540269037584435,0.019052017781883264,0.019052017781883264,0.03810403556376652,0.006350672593961088,0.012701345187922175,0,0
BURD10,0.005715605334564979,0,0.011431210669129959,0.017146816003694935,0,0.011431210669129959,0.045724842676519835,0,0,0.028578026672824896,0
BURD11,0.005715605334564979,0.04000923734195485,0.017146816003694935,0,0,0,0,0,0,0,0
BURD12,0,0.005715605334564979,0,0,0,0,0,0,0,0,0
BURD13,0,0.005715605334564979,0.011431210669129959,0,0,0,0,0,0,0,0
BURD14,0.04000923734195485,0.03429363200738987,0.022862421338259917,0.005715605334564979,0.017146816003694935,0,0,0,0.005715605334564979,0,0.005715605334564979
BURD15,0,0,0.011431210669129959,0,0,0,0,0,0,0,0
