ind,Pycnonotus_luteolus,Dicaeum_erythrorhynchos,Pycnonotus_cafer,Leptocoma_zeylonica,Saxicoloides_fulicatus,Megalaima_haemacephala
ERYM01,0.04587372686552247,0.01529124228850749,0,0,0,0
ERYM02,0.053969090430026435,0,0.07195878724003525,0,0,0
ERYM04,0,0.01529124228850749,0.06116496915402996,0,0,0
ERYM05,0.01529124228850749,0,0,0,0,0
ERYM07,0.01529124228850749,0.03058248457701498,0,0,0,0
ERYM09,0.07645621144253745,0.04587372686552247,0.03058248457701498,0.03058248457701498,0,0
ERYM10,0.04587372686552247,0,0.01529124228850749,0.01529124228850749,0.01529124228850749,0
ERYM11,0,0.04587372686552247,0,0,0,0
ERYM12,0,0.03398053841890553,0.016990269209452766,0,0.0509708076283583,0.03398053841890553
ERYM13,0,0.03058248457701498,0,0,0,0
ERYM14,0,0.04170338805956588,0,0.06950564676594313,0,0
ERYM15,0.01529124228850749,0.01529124228850749,0.03058248457701498,0.01529124228850749,0,0
