ind,Pycnonotus_jocosus,Pycnonotus_cafer,Dicaeum_erythrorhynchos,Pycnonotus_luteolus,Leptocoma_zeylonica
FLAS02,0.021673577082548058,0.021673577082548058,0,0,0
FLAS03,0,0.017338861666038447,0.034677723332076894,0.06935544666415379,0.017338861666038447
FLAS04,0,0,0.021673577082548058,0,0
FLAS06,0,0,0.043347154165096116,0.043347154165096116,0
FLAS07,0,0,0,0.021673577082548058,0
FLAS08,0,0,0.018846588767433097,0,0.018846588767433097
FLAS09,0,0.021673577082548058,0.021673577082548058,0.021673577082548058,0
FLAS10,0,0.043347154165096116,0,0.043347154165096116,0
FLAS11,0,0.021673577082548058,0.021673577082548058,0.021673577082548058,0
FLAS12,0,0.043347154165096116,0.021673577082548058,0.021673577082548058,0
FLAS13,0,0.021673577082548058,0.021673577082548058,0.043347154165096116,0.021673577082548058
FLAS14,0,0.06502073124764418,0,0.021673577082548058,0
FLAS15,0,0.06502073124764418,0.021673577082548058,0.043347154165096116,0.021673577082548058
