ind,Dicaeum_erythrorhynchos,Pycnonotus_cafer,Megalaima_haemacephala,Pycnonotus_luteolus,Psittacula_krameri,Pycnonotus_jocosus,Turdoides_affinis,Orthotomus_sutorius
FLUL02,0.16546401866102767,0.0496392055983083,0.06618560746441107,0,0,0,0,0
FLUL03,0.016546401866102768,0,0,0.016546401866102768,0,0,0,0
FLUL05,0.016546401866102768,0,0,0.033092803732205536,0.016546401866102768,0,0,0
FLUL06,0,0,0,0,0,0.033092803732205536,0,0
FLUL07,0.0992784111966166,0,0,0.0992784111966166,0,0,0.0496392055983083,0
FLUL09,0.055154672887009225,0,0,0,0,0,0,0
FLUL10,0.033092803732205536,0,0,0.033092803732205536,0,0,0.033092803732205536,0
FLUL11,0.033092803732205536,0,0,0,0,0,0,0.016546401866102768
FLUL14,0.014388175535741538,0,0,0.014388175535741538,0,0,0,0
FLUL15,0,0.030084367029277758,0,0.07521091757319438,0,0,0,0
