ind,Pycnonotus_luteolus,Pycnonotus_cafer,Orthotomus_sutorius,Dicaeum_erythrorhynchos,Aegithina_tiphia,Turdoides_affinis,Pycnonotus_jocosus,Cinnyris_asiaticus,Leptocoma_zeylonica,Eudynamys_scolopaceus
SANA01,0.037037037037037035,0.024691358024691357,0,0,0,0,0,0,0,0
SANA02,0.08641975308641975,0.024691358024691357,0.037037037037037035,0.024691358024691357,0.012345679012345678,0.04938271604938271,0.024691358024691357,0,0,0
SANA03,0.012345679012345678,0.037037037037037035,0,0.024691358024691357,0,0,0,0.012345679012345678,0,0
SANA04,0,0.012345679012345678,0,0,0,0,0,0,0,0
SANA05,0,0.012345679012345678,0,0,0,0,0,0,0,0
SANA06,0,0.012345679012345678,0,0,0,0,0,0,0,0
SANA07,0.04938271604938271,0.06172839506172839,0,0,0,0,0,0,0,0
SANA09,0.037037037037037035,0.024691358024691357,0,0.012345679012345678,0,0,0,0,0,0
SANA10,0.037037037037037035,0,0,0.037037037037037035,0,0,0,0,0,0
SANA11,0.024691358024691357,0.012345679012345678,0,0.012345679012345678,0,0,0,0,0,0
SANA12,0.012345679012345678,0.037037037037037035,0,0.037037037037037035,0,0,0,0,0,0
SANA13,0.037037037037037035,0.024691358024691357,0,0.012345679012345678,0,0,0,0,0.012345679012345678,0
SANA14,0.012345679012345678,0,0,0.024691358024691357,0,0,0,0,0,0.012345679012345678
SANA15,0,0,0.012345679012345678,0,0,0,0,0,0.012345679012345678,0
