ind,TSPS,Pycnonotus_cafer,Pycnonotus_luteolus,Spilopelia_chinensis,Saxicoloides_fulicatus,Orthotomus_sutorius,Megalaima_haemacephala,Pycnonotus_jocosus,Merops_orientalis,Prinia_socialis,Eudynamys_scolopaceus,Dicaeum_erythrorhynchos,Cinnyris_asiaticus,Lonchura_punctulata
ZIZO01,0.005041593143433326,0.005041593143433326,0.012603982858583312,0.002520796571716663,0,0,0,0,0,0,0,0,0,0
ZIZO02,0,0.013612301487269978,0.020418452230904965,0,0.004537433829089992,0.002268716914544996,0.004537433829089992,0.006806150743634989,0.002268716914544996,0,0,0,0,0
ZIZO03,0,0.012603982858583312,0.020166372573733302,0,0.012603982858583312,0.002520796571716663,0,0.005041593143433326,0,0.005041593143433326,0.002520796571716663,0,0,0
ZIZO04,0,0.009074867658179985,0.04310562137635493,0,0.002268716914544996,0.002268716914544996,0,0.006806150743634989,0,0,0.01134358457272498,0.004537433829089992,0.002268716914544996,0
ZIZO05,0,0.004537433829089992,0.029493319889084952,0,0.006806150743634989,0.002268716914544996,0,0.015881018401814974,0,0,0.002268716914544996,0.006806150743634989,0.002268716914544996,0
ZIZO06,0,0.006806150743634989,0.03403075371817495,0,0.004537433829089992,0.002268716914544996,0.002268716914544996,0.009074867658179985,0,0,0.002268716914544996,0.002268716914544996,0.002268716914544996,0
ZIZO07,0,0.047436808213213555,0.02681210899007723,0,0,0,0,0.010312349611568164,0,0,0.008249879689254532,0,0.02062469922313633,0
ZIZO08,0,0.006806150743634989,0.027224602974539956,0,0.002268716914544996,0,0,0.009074867658179985,0,0,0.002268716914544996,0.004537433829089992,0.002268716914544996,0
ZIZO09,0,0.015881018401814974,0.027224602974539956,0,0,0,0,0.009074867658179985,0,0,0.002268716914544996,0.009074867658179985,0,0
ZIZO10,0,0.01134358457272498,0.04083690446180993,0,0.002268716914544996,0,0,0.013612301487269978,0,0,0.002268716914544996,0.002268716914544996,0.009074867658179985,0
ZIZO11,0,0.013612301487269978,0.04991177211998992,0,0,0,0,0.009074867658179985,0,0,0.006806150743634989,0.004537433829089992,0.004537433829089992,0
ZIZO12,0,0.01134358457272498,0.013612301487269978,0,0,0,0,0.006806150743634989,0,0,0.004537433829089992,0.002268716914544996,0,0
ZIZO13,0,0.01134358457272498,0.027224602974539956,0,0,0,0.002268716914544996,0.002268716914544996,0,0,0.002268716914544996,0.002268716914544996,0.004537433829089992,0
ZIZO14,0,0.013612301487269978,0.027224602974539956,0,0.004537433829089992,0,0.006806150743634989,0.01134358457272498,0,0,0.004537433829089992,0.002268716914544996,0.006806150743634989,0.004537433829089992
ZIZO15,0,0.01134358457272498,0.029493319889084952,0.002268716914544996,0,0.002268716914544996,0.004537433829089992,0.004537433829089992,0,0,0.004537433829089992,0.004537433829089992,0.004537433829089992,0
