ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
CHU0108,0,0,0.0046516841338339965,0,0,0
CHU0111,0,0,0,0,0,0
CHU096M,0.006220926974163538,0.001569242840329541,0.001569242840329541,0.001569242840329541,0.001569242840329541,0.010872611107997534
CHU100,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
CHU105M,0,0,0.018662780922490612,0,0,0.0046516841338339965
CHU114M,0.028806814997478003,7.846214201647705e-4,0.005436305553998767,7.846214201647705e-4,7.846214201647705e-4,0.005436305553998767
EM001H,0.006220926974163538,0.001569242840329541,0.001569242840329541,0.001569242840329541,0.001569242840329541,0.006220926974163538
EM003H,0,0,0.0046516841338339965,0.056044387154626465,0,0
EM007,0,0,0.0046516841338339965,0.0046516841338339965,0,0
EM008,0.0046516841338339965,0,0.0046516841338339965,0,0,0
EM009,0,0,0.00935941265482262,0,0,0
EM013,0.00935941265482262,0,0.03267387771114723,0.00935941265482262,0,0
EM028,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
EM031,0.0023538642604943117,0.0023538642604943117,0.011657232528162304,0.007005548394328308,0.0023538642604943117,0.0023538642604943117
EM044,0.001569242840329541,0.001569242840329541,0.006220926974163538,0.010872611107997534,0.001569242840329541,0.001569242840329541
EM054,0,0,0,0.00935941265482262,0,0
EM060,0,0,0.014011096788656616,0.00935941265482262,0,0
EM062B,0.00935941265482262,0,0,0.00935941265482262,0,0
EM066H,0,0,0.0046516841338339965,0,0,0
EM083H,0.001569242840329541,0.001569242840329541,0.001569242840329541,0.006220926974163538,0.001569242840329541,0.001569242840329541
EM090H,0.0023538642604943117,0.0023538642604943117,0.0023538642604943117,0.007005548394328308,0.0023538642604943117,0.0023538642604943117
EM097H,0,0,0,0,0,0
EM117H,0.011657232528162304,0.0023538642604943117,0.011657232528162304,0.0023538642604943117,0.0023538642604943117,0.0023538642604943117
EM123H,0.005436305553998767,7.846214201647705e-4,0.005436305553998767,0.01014403407498739,7.846214201647705e-4,7.846214201647705e-4
EM128,0.0046516841338339965,0,0,0.014011096788656616,0,0.0046516841338339965
EM133,0.014011096788656616,0,0,0.018662780922490612,0,0
EM136,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
EM138,0.0046516841338339965,0,0,0.0046516841338339965,0,0
EM142,0,0,0,0.0046516841338339965,0,0
EM155,0.00935941265482262,0,0,0,0,0
EM160,0.00935941265482262,0,0.00935941265482262,0,0,0
EM163,0,0,0,0.0046516841338339965,0,0
EM171,0.005436305553998767,7.846214201647705e-4,0.005436305553998767,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
EM190,0.001569242840329541,0.006220926974163538,0.02488370789665415,0.015580339628986159,0.001569242840329541,0.001569242840329541
EM193,0.01014403407498739,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
EM199,0,0,0.018662780922490612,0.023370509443479234,0,0.00935941265482262
EM227,0.005436305553998767,7.846214201647705e-4,0.005436305553998767,7.846214201647705e-4,7.846214201647705e-4,7.846214201647705e-4
EM234,0,0,0.0046516841338339965,0,0,0
EM236,0,0,0,0,0,0
EM240,0.023370509443479234,0,0,0,0,0.014011096788656616
EM270,0,0,0,0,0,0
EM291H,0.00935941265482262,0.0046516841338339965,0.042033290365969846,0.00935941265482262,0,0
EM293,0,0,0,0.0046516841338339965,0,0
EM297H,0.007790169814493079,0.003138485680659082,0.012441853948327076,0.003138485680659082,0.003138485680659082,0.003138485680659082
EM298H,0.019447402342655382,7.846214201647705e-4,0.04746959591996861,0.024155130863644007,0.005436305553998767,7.846214201647705e-4
EM300H,7.846214201647705e-4,7.846214201647705e-4,0.01014403407498739,0.028806814997478003,0.005436305553998767,7.846214201647705e-4
