ind,Genetta_genetta,Cervus_elaphus,Sus_scrofa,NO_ID,Turdus_merula,Rodentia_sp,Vulpes_vulpes,Oryctolagus_cuniculus,Turdus_philomelos
Jmac004,0.04472964420483883,0.08945928840967766,0,0,0,0,0.037274703504032364,0,0
Jmac014,0,0.014889714649863191,0,0,0,0,0,0,0
Jmac016,0,0.008274329371051579,0,0,0,0,0,0,0
Jmac017,0,0.011394758324860949,0.011394758324860949,0,0,0,0,0,0
Jmac018,0,0.03686293267068122,0,0,0,0,0,0,0
Jmac019,0,0.04760905681407079,0,0,0,0,0,0,0
Jmac021,0,0,0,0.029245516171316252,0,0,0,0,0
Jmac023,0,0.052828421261035215,0.008804736876839202,0,0,0,0,0,0
Jmac024,0,0.12301059222959299,0.027335687162131774,0,0,0,0,0,0
Jmac025,0,0.04128099864799169,0,0,0,0,0,0,0
Jmac026,0,0.023382211348222985,0.007794070449407661,0,0,0,0,0.007794070449407661,0.007794070449407661
Jmac027,0,0.04477536542806191,0,0,0.007462560904676984,0,0,0.014925121809353969,0.007462560904676984
Jmac028,0,0.014898049252383007,0.0074490246261915034,0,0,0,0,0,0
Jmac002,0,0.010555464894558967,0.010555464894558967,0,0.021110929789117935,0.010555464894558967,0,0,0.010555464894558967
Jmac007,0,0.007453566488958916,0.007453566488958916,0,0,0,0,0,0
Jmac012,0,0.029776266367430207,0,0,0,0,0,0,0
Jmac029,0,0,0.020231764766630956,0,0,0,0,0,0
Jmac009,0,0.007447758117332665,0.007447758117332665,0,0,0,0,0,0
Jmac015,0,0.010668796352428468,0,0,0,0,0,0,0
Jmac006,0,0.0590730394775188,0,0,0,0,0,0,0
Jmac011,0,0.03932163347427977,0,0,0.019660816737139885,0,0,0,0
