ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus
T61,0.011396011396011397,0,0,0.0014245014245014246,0,0,0,0,0
T62,0.007122507122507123,0.018518518518518517,0,0,0,0,0.0014245014245014246,0,0
T63,0.005698005698005698,0.0014245014245014246,0,0.01282051282051282,0,0,0.0014245014245014246,0.002849002849002849,0
T64,0.005698005698005698,0.0014245014245014246,0,0.06267806267806268,0,0,0,0,0
T65,0.05698005698005698,0.02849002849002849,0,0.002849002849002849,0,0,0,0,0
T66,0.009971509971509971,0.005698005698005698,0,0.011396011396011397,0,0,0,0,0
T68,0.0014245014245014246,0,0,0.04415954415954416,0,0,0,0,0
T72,0.005698005698005698,0.0014245014245014246,0,0.1225071225071225,0.0014245014245014246,0,0,0,0
T73,0.018518518518518517,0,0,0.002849002849002849,0,0.0014245014245014246,0,0,0
T74,0.029914529914529916,0.017094017094017096,0.002849002849002849,0.07122507122507123,0,0,0.002849002849002849,0,0
T75,0.009971509971509971,0,0,0.08262108262108261,0,0,0,0,0
T76,0,0,0,0.009971509971509971,0,0,0,0,0
T77,0,0,0,0,0.018518518518518517,0,0,0,0
T78,0.0014245014245014246,0,0,0,0.01282051282051282,0.0014245014245014246,0,0,0
T79,0.0014245014245014246,0.004273504273504274,0,0.007122507122507123,0.011396011396011397,0,0,0.0014245014245014246,0
T80,0,0,0,0.038461538461538464,0,0.004273504273504274,0,0,0.021367521367521368
T81,0.017094017094017096,0.0014245014245014246,0,0,0,0,0,0,0.0014245014245014246
T82,0.007122507122507123,0,0,0,0.002849002849002849,0,0,0,0
T83,0,0,0,0,0,0,0,0,0.0014245014245014246
T84,0.005698005698005698,0.002849002849002849,0,0,0,0,0,0.0014245014245014246,0
T85,0.0014245014245014246,0.002849002849002849,0,0.004273504273504274,0,0,0,0,0
T86,0.02849002849002849,0,0,0.014245014245014245,0,0,0,0,0
T87,0.008547008547008548,0,0.0014245014245014246,0,0,0,0,0,0
T88,0.01566951566951567,0.004273504273504274,0,0,0.002849002849002849,0.0014245014245014246,0,0,0
T89,0,0,0,0,0,0,0,0,0.005698005698005698
T90,0.018518518518518517,0,0,0.04843304843304843,0.0014245014245014246,0,0,0,0
