ind,Graomys_griseoflavus,Akodon_dolores,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus,Equus_caballus
T1,0,0,0.0010070493454179255,0,0,0,0,0,0.00906344410876133,0.008056394763343404
T2,0,0,0.0030211480362537764,0,0,0,0,0,0,0
T3,0,0,0,0,0.0010070493454179255,0,0,0,0.00906344410876133,0.008056394763343404
T4,0.0010070493454179255,0,0,0,0,0,0,0.0010070493454179255,0.0010070493454179255,0
T5,0.002014098690835851,0,0.007049345417925478,0,0,0,0,0,0,0
T6,0,0,0.013091641490433032,0,0,0,0,0,0,0
T7,0.002014098690835851,0,0,0,0,0,0,0,0,0
T8,0.004028197381671702,0,0,0,0.0010070493454179255,0,0,0,0.0030211480362537764,0
T9,0,0,0.010070493454179255,0,0.002014098690835851,0,0,0,0,0
T10,0,0.0010070493454179255,0,0,0,0,0,0,0.004028197381671702,0.014098690835850957
T11,0,0,0.005035246727089627,0,0,0,0.0010070493454179255,0,0,0
T12,0,0,0,0,0,0.0010070493454179255,0.0010070493454179255,0,0,0
T13,0,0,0.002014098690835851,0.002014098690835851,0,0,0,0,0.006042296072507553,0
T14,0,0,0.03625377643504532,0,0,0,0,0,0,0
T15,0,0,0.005035246727089627,0,0.0010070493454179255,0,0,0,0.014098690835850957,0
T16,0,0,0,0,0,0,0,0,0.004028197381671702,0
T17,0,0,0.021148036253776436,0,0,0,0,0,0,0.008056394763343404
T18,0.0010070493454179255,0,0.011077542799597181,0,0.0010070493454179255,0,0,0,0,0
T20,0.008056394763343404,0,0.0553877139979859,0,0,0,0,0,0,0
T21,0.021148036253776436,0,0.0010070493454179255,0,0,0,0,0,0,0
T22,0,0,0.025176233635448138,0,0.0010070493454179255,0,0,0,0,0
T23,0,0,0.021148036253776436,0,0.0010070493454179255,0,0,0,0,0
T24,0,0,0,0,0,0,0,0,0.004028197381671702,0
T25,0,0,0.005035246727089627,0,0,0,0,0,0.007049345417925478,0
T26,0.0010070493454179255,0,0.0030211480362537764,0,0.008056394763343404,0,0,0,0,0
T28,0.0010070493454179255,0,0.005035246727089627,0.002014098690835851,0,0,0,0,0.0010070493454179255,0
T29,0.004028197381671702,0,0,0,0,0,0,0,0.016112789526686808,0
T30,0.014098690835850957,0,0.021148036253776436,0,0,0,0,0,0,0
T31,0.002014098690835851,0,0.010070493454179255,0,0,0,0.002014098690835851,0,0,0
T32,0,0,0,0,0.002014098690835851,0,0,0,0,0.008056394763343404
T33,0,0,0.038267875125881166,0,0,0,0.0010070493454179255,0,0,0
T34,0.015105740181268883,0,0,0,0,0,0.002014098690835851,0,0,0
T35,0.0010070493454179255,0,0,0,0,0,0,0,0,0
T37,0.00906344410876133,0,0.023162134944612285,0,0,0,0,0,0,0
T38,0,0,0,0,0.0010070493454179255,0,0,0,0,0
T39,0,0,0.02416918429003021,0,0.0010070493454179255,0,0,0,0.0010070493454179255,0
T40,0,0,0,0,0.004028197381671702,0,0,0,0,0
T41,0.011077542799597181,0,0.01812688821752266,0,0.0010070493454179255,0,0,0,0,0
T42,0.010070493454179255,0,0,0,0,0,0,0,0.0010070493454179255,0
T43,0,0,0,0,0.0010070493454179255,0,0,0,0.0030211480362537764,0
T44,0,0,0,0.0010070493454179255,0,0,0,0,0.00906344410876133,0
T45,0,0,0,0,0,0,0,0,0.002014098690835851,0
T46,0.0010070493454179255,0,0,0,0,0,0,0,0,0
T47,0.006042296072507553,0,0,0,0,0,0,0,0,0
T48,0.0030211480362537764,0,0.016112789526686808,0,0,0,0,0,0,0
T50,0.016112789526686808,0,0.050352467270896276,0,0,0,0,0,0,0
T52,0.0010070493454179255,0,0.05740181268882175,0,0,0,0,0,0.007049345417925478,0
T53,0.002014098690835851,0,0.041289023162134945,0,0.0010070493454179255,0,0,0,0,0
T55,0.002014098690835851,0,0.013091641490433032,0,0,0,0,0,0,0
T56,0,0,0,0.01812688821752266,0.002014098690835851,0,0,0,0,0
T57,0.0010070493454179255,0,0,0,0.008056394763343404,0,0,0,0,0
T58,0,0,0.0030211480362537764,0.007049345417925478,0,0,0,0,0,0
T59,0,0,0.008056394763343404,0,0.008056394763343404,0,0,0,0,0
T60,0,0,0.06948640483383686,0,0.002014098690835851,0,0,0,0,0
