ind,Graomys_griseoflavus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Ctenomys_mendocinus
T121,0.006185567010309278,0.002061855670103093,0.002061855670103093,0,0,0,0,0
T122,0,0,0,0.002061855670103093,0,0,0,0.004123711340206186
T124,0,0.004123711340206186,0,0.002061855670103093,0,0.002061855670103093,0,0
T125,0.004123711340206186,0,0,0,0,0,0,0
T127,0.002061855670103093,0,0,0,0,0.002061855670103093,0,0
T128,0.020618556701030927,0.004123711340206186,0,0,0,0,0,0
T129,0.006185567010309278,0,0,0.002061855670103093,0,0,0,0
T130,0,0.006185567010309278,0,0,0,0,0,0
T132,0.002061855670103093,0,0,0,0,0,0,0
T133,0.010309278350515464,0,0.004123711340206186,0,0,0,0,0
T134,0.016494845360824743,0,0,0,0,0,0.002061855670103093,0
T135,0,0,0,0.002061855670103093,0,0,0,0
T136,0.006185567010309278,0,0,0,0,0,0,0
T137,0.002061855670103093,0.01443298969072165,0,0,0,0,0,0
T138,0,0.03711340206185567,0,0,0,0,0,0
T139,0.004123711340206186,0.049484536082474224,0,0,0,0,0,0
T140,0.041237113402061855,0,0,0,0,0,0,0
T141,0,0.10515463917525773,0,0,0,0,0,0
T142,0.02268041237113402,0,0,0,0.002061855670103093,0,0,0
T143,0.03711340206185567,0.03505154639175258,0,0,0,0,0,0
T144,0.05154639175257732,0,0,0,0,0,0,0
T145,0.006185567010309278,0.03917525773195876,0,0,0,0,0,0
T146,0.04329896907216495,0.026804123711340205,0,0,0,0,0,0
T148,0.008247422680412371,0.03917525773195876,0,0.002061855670103093,0,0.002061855670103093,0,0
T149,0.016494845360824743,0.004123711340206186,0,0,0,0,0,0
T151,0,0.09896907216494845,0,0,0,0.002061855670103093,0,0
T152,0,0.002061855670103093,0,0,0,0,0,0
T153,0.03505154639175258,0,0,0,0,0,0,0
T154,0.0288659793814433,0.010309278350515464,0,0,0,0,0,0
T155,0,0,0,0.004123711340206186,0,0,0,0
T156,0.03917525773195876,0,0,0,0,0,0,0
T157,0.006185567010309278,0.018556701030927835,0,0,0,0,0,0
T158,0,0.004123711340206186,0,0.008247422680412371,0,0,0,0
T159,0,0,0.01443298969072165,0,0,0,0,0
T160,0.018556701030927835,0.002061855670103093,0,0,0,0.002061855670103093,0,0
