ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens
T161,0.009825327510917031,0.001819505094614265,0,0.011644832605531296,0,0,0,0,0
T162,0.010553129548762736,0.012736535662299854,7.27802037845706e-4,0.023653566229985445,0,0,0,0,0
T163,0.020378457059679767,0.017467248908296942,0,0.012008733624454149,0,0,0,0,0
T164,0.010189228529839884,0.010553129548762736,0,0.011644832605531296,0,0,0,0,0
T165,0.008005822416302766,0.00363901018922853,0,0.02438136826783115,0,0,0,0,0
T166,0.009461426491994178,0.008005822416302766,0,0.027292576419213975,0,0,0,0,0
T167,0.006914119359534207,0.004002911208151383,0,0.017831149927219795,0,0,0,0,3.63901018922853e-4
T168,0.0054585152838427945,0.002911208151382824,0,0.026928675400291122,0,0,0,3.63901018922853e-4,0
T169,0.002183406113537118,0,0,0.009461426491994178,0,0,0,0,0
T170,0.013464337700145561,0.01928675400291121,3.63901018922853e-4,0.020014556040756915,0,0,0,0,0
T171,0.013828238719068414,0.010553129548762736,0,0.012736535662299854,0,0,3.63901018922853e-4,0,0
T172,0.00727802037845706,0.006550218340611353,0.001091703056768559,0.021106259097525473,0,0,0,3.63901018922853e-4,0
T173,0.011280931586608443,0.026928675400291122,0,0.005822416302765648,0,0,0,0,0
T174,0.03275109170305677,0.009825327510917031,0,0.02911208151382824,0,0,0,0,0
T175,0.010189228529839884,0.008733624454148471,0,0.01601164483260553,0,7.27802037845706e-4,0,0,0
T176,0.012372634643377001,0.005822416302765648,0,0.015283842794759825,0,0,3.63901018922853e-4,0,0
T177,0.001819505094614265,0,0,0.00727802037845706,0,0.001091703056768559,3.63901018922853e-4,0,0
T178,0.024745269286754003,0.01455604075691412,0.001091703056768559,0.021834061135371178,0,0,0,0,0
T179,0.0549490538573508,0.008733624454148471,0.002183406113537118,0.018558951965065504,0,0,0,0,3.63901018922853e-4
T180,0.001091703056768559,0.001819505094614265,0,0.005094614264919942,0,0,0,0,0
T181,0.018558951965065504,0.008733624454148471,7.27802037845706e-4,0.048034934497816595,0,0,0,0,0
T182,0.002183406113537118,0.002911208151382824,0,3.63901018922853e-4,0,0,0,0,0
T183,0.005822416302765648,3.63901018922853e-4,0,0.002183406113537118,0,0,0,0,0
T184,0.009825327510917031,0.005822416302765648,0,0.009097525473071324,0,0,0,0,0
T185,0.01710334788937409,0.008733624454148471,0,0.002547307132459971,0,0,0,0,0
T186,0,0.001819505094614265,0,0.012736535662299854,0,0,0,0,0
T187,0.001455604075691412,7.27802037845706e-4,0,0.005822416302765648,0,0,0,0,3.63901018922853e-4
T188,0,3.63901018922853e-4,0,0,0.0032751091703056767,0,0,0,0
T190,0.02074235807860262,0.013464337700145561,0,0.008005822416302766,0,0,0,0,0
