ind,Elaenia_obscura,Thraupis_sayaca,Thraupis_bonariensis,Turdus_amaurochalinus,Turdus_rufiventris,Pitangus_sulphuratus,Tangara_preciosa,Mimus_saturninus,Turdus_albicollis,Stephanophorus_diadematus,Myiopsitta_monachus,Elaenia_flavogaster,Euphonia_chlorotica,Setophaga_pitiayumi,Saltator_similis,Zenaida_auriculata
Ind01,0,0,0,0.009208103130755065,0,0,0,0,0,0,0,0,0,0,0,0
Ind02,0,0,0,0.003683241252302026,0,0,0,0,0,0,0,0.001841620626151013,0,0,0,0.003683241252302026
Ind03,0,0,0,0.009208103130755065,0,0,0,0,0.003683241252302026,0,0,0,0,0,0,0
Ind04 ,0.001841620626151013,0,0,0.011049723756906077,0.003683241252302026,0,0,0,0,0.001841620626151013,0,0,0,0,0,0
Ind05,0,0,0,0.001841620626151013,0,0.0055248618784530384,0,0.001841620626151013,0,0,0,0,0,0,0,0
Ind06 ,0.001841620626151013,0.003683241252302026,0,0.06261510128913444,0.001841620626151013,0.003683241252302026,0,0,0,0,0,0,0,0,0,0
Ind07,0,0,0.001841620626151013,0.007366482504604052,0.001841620626151013,0,0,0,0,0,0,0,0,0,0,0
Ind08,0,0,0,0,0,0.0055248618784530384,0,0,0,0,0,0,0,0,0,0
Ind09 ,0.003683241252302026,0,0,0.003683241252302026,0.0055248618784530384,0,0.001841620626151013,0,0.0055248618784530384,0,0,0,0,0,0,0
Ind10 ,0.001841620626151013,0.001841620626151013,0,0.009208103130755065,0,0.001841620626151013,0.001841620626151013,0,0,0,0,0,0,0,0,0
Ind11 ,0.027624309392265192,0.01841620626151013,0.022099447513812154,0.07550644567219153,0.022099447513812154,0.001841620626151013,0.01841620626151013,0,0.014732965009208104,0.029465930018416207,0,0,0,0.001841620626151013,0,0
Ind13 ,0,0,0,0.001841620626151013,0,0.001841620626151013,0,0,0,0,0.0055248618784530384,0.011049723756906077,0,0,0,0
Ind14 ,0,0,0,0.01841620626151013,0,0.001841620626151013,0,0.003683241252302026,0,0,0,0,0,0,0,0
Ind15,0,0,0,0.001841620626151013,0,0,0,0,0,0,0,0,0,0,0,0
Ind17 ,0,0.001841620626151013,0.020257826887661142,0.09576427255985268,0.003683241252302026,0.001841620626151013,0.0055248618784530384,0,0,0.003683241252302026,0,0,0,0,0,0
Ind18 ,0.001841620626151013,0,0,0.01289134438305709,0,0,0,0,0.007366482504604052,0,0,0,0,0,0,0
Ind19,0,0,0,0.001841620626151013,0,0,0,0,0,0,0,0.001841620626151013,0,0,0,0
Ind20 ,0.001841620626151013,0.009208103130755065,0,0.09392265193370165,0.029465930018416207,0,0,0,0,0,0.001841620626151013,0.001841620626151013,0.0055248618784530384,0,0,0
Ind22,0.003683241252302026,0,0,0,0,0.001841620626151013,0,0,0,0,0,0,0,0,0,0
Ind23 ,0,0.001841620626151013,0,0.04419889502762431,0.02578268876611418,0,0,0,0.009208103130755065,0.0055248618784530384,0,0,0,0,0,0
Ind24,0,0,0.001841620626151013,0,0,0.001841620626151013,0,0,0,0,0,0.001841620626151013,0,0,0,0
Ind25 ,0,0.01289134438305709,0.001841620626151013,0.001841620626151013,0,0,0,0,0,0,0,0,0,0,0,0
Ind26,0,0,0,0.001841620626151013,0,0,0,0,0,0,0,0,0,0,0,0
Ind27 ,0,0,0,0.06445672191528545,0.007366482504604052,0,0,0,0,0,0,0,0,0,0,0
Ind28 ,0,0,0.001841620626151013,0.011049723756906077,0.003683241252302026,0,0,0,0,0,0,0,0,0,0,0
Ind29 ,0,0.020257826887661142,0.001841620626151013,0,0.003683241252302026,0.001841620626151013,0,0,0,0,0,0,0,0,0.001841620626151013,0
