ind,Curruca_communis,Curruca_hortensis,Curruca_iberia,Curruca_iberiae,Curruca_melanocephala,Erithacus_rubecula,Mus_spretus,NO_ID,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Troglodytes_troglodytes,Apodemus_sylvaticus,Ficedula_hypoleuca,Fringilla_coelebs,Muscicapa_striata,Phoenicurus_phoenicurus,Chloris_chloris
pang001,0.0014777656615538337,0.007388828307769168,0.005911062646215335,0.0014777656615538337,0.0029555313231076673,0.03694414153884584,0.007388828307769168,0.022166484923307507,0.0044332969846615005,0.041377438523507344,0.010344359630876836,0.02955531323107667,0,0,0,0,0,0,0
pang002,0.0037013196009011906,0,0.0037013196009011906,0,0.0037013196009011906,0.005551979401351786,0.0037013196009011906,0.02035725780495655,0,0.007402639201802381,0,0.014805278403604762,0,0,0,0,0,0,0
pang003,0,0.008609591245574508,0.008609591245574508,0,0.012914386868361763,0.021523978113936273,0,0.03659076279369166,0.019371580302542647,0.023676375925329902,0.002152397811393627,0.019371580302542647,0.002152397811393627,0,0,0,0,0,0
pang004,0.0014777656615538337,0,0.0014777656615538337,0,0.0029555313231076673,0.0044332969846615005,0,0.01625542227709217,0.0044332969846615005,0.06502168910836868,0.0044332969846615005,0.025122016246415173,0,0,0,0,0,0,0
pang005,0.0018506598004505953,0.0037013196009011906,0,0,0.0018506598004505953,0.029610556807209525,0.03146121660766012,0.03146121660766012,0.0037013196009011906,0.04256517541036369,0.012954618603154167,0.007402639201802381,0,0.005551979401351786,0.0018506598004505953,0.0018506598004505953,0.007402639201802381,0.0018506598004505953,0
pang006,0.0018506598004505953,0.005551979401351786,0,0,0.0018506598004505953,0.0018506598004505953,0,0.016655938204055358,0,0.06847441261667203,0.005551979401351786,0.014805278403604762,0,0,0,0,0,0,0
pang007,0,0,0,0,0.006457193434180881,0.002152397811393627,0,0.025828773736723525,0.03659076279369166,0,0,0,0,0,0,0,0,0.010761989056968136,0
pang008,0,0.0037013196009011906,0,0,0.011103958802703573,0.016655938204055358,0,0.0018506598004505953,0,0.0037013196009011906,0,0,0,0,0,0,0,0.011103958802703573,0.0018506598004505953
pang009,0.006457193434180881,0.002152397811393627,0,0,0,0,0,0.004304795622787254,0.004304795622787254,0.006457193434180881,0.002152397811393627,0.006457193434180881,0,0.002152397811393627,0,0,0,0,0
pang010,0.002152397811393627,0,0,0,0,0,0,0.015066784679755392,0,0,0,0,0,0,0,0,0,0,0
