ind,Columba_palumbus,Curruca_conspicillata,Curruca_melanocephala,Cyanopica_cooki,Erithacus_rubecula,NO_ID,Phoenicurus_phoenicurus,Sylvia_undata,Apodemus_sylvaticus,Curruca_communis,Mus_spretus,Sylvia_atricapilla,Turdus_merula
pang011,0.008385139917814099,0.008385139917814099,0.07546625926032688,0.008385139917814099,0.08385139917814098,0.008385139917814099,0.025155419753442293,0.008385139917814099,0,0,0,0,0
pang012,0,0,0.008385139917814099,0,0.025155419753442293,0.016770279835628198,0.008385139917814099,0,0.025155419753442293,0.008385139917814099,0.06708111934251279,0.008385139917814099,0.025155419753442293
pang013,0,0,0.021725135241609256,0,0,0,0,0,0.04345027048321851,0,0,0,0
pang014,0,0,0.008385139917814099,0,0.008385139917814099,0.025155419753442293,0,0,0.008385139917814099,0,0,0,0.008385139917814099
pang015,0,0,0.020483698942088728,0,0.006827899647362909,0,0,0,0,0,0.006827899647362909,0,0
pang016,0,0,0.04498380944144975,0,0.05622976180181219,0.016868928540543657,0.011245952360362438,0.011245952360362438,0,0,0.005622976180181219,0.005622976180181219,0
pang017,0,0,0.008385139917814099,0,0.008385139917814099,0.016770279835628198,0,0,0.033540559671256395,0,0,0,0.025155419753442293
pang018,0,0.005622976180181219,0.005622976180181219,0,0.061852737981993415,0,0,0,0,0,0,0,0
pang019,0,0,0,0,0,0.021725135241609256,0,0,0,0,0,0,0
pang020,0,0,0.016770279835628198,0,0,0.033540559671256395,0.008385139917814099,0,0.016770279835628198,0,0,0,0.008385139917814099
