# Jordano_003
# Nava Noguera, Sierra de Cazorla, Segura y Las Villas, Jaén, Spain.
# 
,Coccothraustes.coccothraustes,Columba.palumbus,Corvus.corax,Corvus.corone,Dendrocopos.major,Emberiza.cia,Erithacus.rubecula,Ficedula.hypoleuca,Fringilla.coelebs,Garrulus.glandarius,Loxia.curvirostra,Parus.ater,Parus.caeruleus,Parus.cristatus,Parus.major,Phoenicurus.ochruros,Phoenicurus.phoenicurus,Pica.pica,Sitta.europaea,Sylvia.atricapilla,Sylvia.borin,Sylvia.cantillans,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus
Prunus.mahaleb,1,1,2,16,1,0,66,1,95,21,0,36,1,1,7,34,5,0,1,8,1,1,0,132,0,0,0,298
Crataegus.monogyna,28,4,1,4,0,1,1,0,1,5,7,12,5,4,4,0,0,1,12,2,0,0,67,51,6,74,258,69
Berberis.vulgaris,0,0,0,1,0,0,9,0,9,0,0,0,7,0,1,1,1,1,0,41,0,0,26,14,0,12,76,2
Juniperus.phoenicea,2,5,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,3,178,80
Lonicera.arborea,0,0,0,0,0,0,0,0,21,0,0,16,0,0,12,37,0,0,0,45,0,0,12,23,0,0,62,44
Rosa.canina,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,2,9,18,21
Taxus.baccata,22,3,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,121,32,0,0,86,167
Hedera.helix,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,21,0,0,5,2,0,0,12,4
Juniperus.communis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,15,1
Juniperus.sabina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,49,3
Pistacia.terebinthus,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,21,0,0,2,10,0,0,0,0
Sorbus.aria,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,3
Daphne.laureola,0,0,0,0,0,0,4,0,19,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0
Rhamnus.saxatilis,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Lonicera.splendida,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus.oxycedrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Paeonia.officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
